title,ISBN,publication_year
11-22-63,978-1-4516-2728-2,2011
a face in the crowd,978-1-4767-1334-2,2012
a good marriage,978-1-5011-0442-8,2010
bag of bones,978-1-4391-0621-1,1998
big driver,978-1-5011-0443-5,2010
bill hodges 1- mr mercedes,978-1-4767-5445-1,2014
bill hodges 2 - finders keepers,978-1-5011-0007-9,2015
bill hodges 3 - end of watch,978-1-473-63402-2,2016
blaze,978-1-4165-5991-7,2007
blockade billy,978-0-615-36598-5,2010
carrie,978-0-385-52883-2,1974
cell,978-1-4165-2451-9,2006
christine,978-1-5011-4108-9,1983
cujo,978-1-5011-4112-6,1981
cycle of the werewolf,978-0-4518-2219-2,1983
danse macabre,978-1-4391-7098-4,1983
desperation,978-1-5011-4116-4,1996
different seasons,978-1-5011-4117-1,1982
dolores claiborne,978-1-5011-4118-8,1993
dreamcatcher,978-0-7432-2188-7,2001
duma key,978-1-4165-5296-3,2008
everything_s eventual,978-1-4165-4985-7,2002
faithful,978-0-7432-7244-5,2004
firestarter,978-1-5011-4120-1,1980
four past midnight,978-1-5011-4121-8,1990
from a buick 8,978-0-7432-4679-8,2002
full dark_no stars,978-1-4391-9260-3,2010
gerald_s game,978-1-5011-4122-5,1992
guns,978-1-5318-8524-3,2013
hard listening,978-1-937804-26-8,2013
hearts in atlantis,978-0-6848-4490-9,1999
in the tall grass,978-1-4767-1082-2,2012
insomnia,978-1-5011-4184-3,1994
it,978-1-5011-4297-0,1980
joyland,978-1-7811-6769-4,2013
just after sunset,978-1-4165-8665-4,2008
lisey_s story,978-0-7432-9373-0,2006
mile 81,978-1-4516-6560-4,2011
misery,978-1-5011-4310-6,1987
needful things,978-1-5011-4127-0,1992
night shift,978-0-385-52884-9,1978
nightmares _ dreamscapes,978-1-4391-0256-5,1993
on writing - a memoir of the craft,978-0-743-21153-6,2000
pet sematary,978-1-4767-9434-1,1983
rage,978-0-451-07645-8,1977
revival,978-1-4767-7038-3,2014
riding the bullet,978-0-7432-0467-5,2000
roadwork,978-1-5011-4133-1,1981
rose madder,978-1-5011-4128-7,1995
salem_s lot,978-0-385-52822-1,1975
skeleton crew,978-1-101-13810-6,1986
rocky wood,,
talisman 1,0-345-45240-2,1984
talisman 2-black house,978-1-58836-054-0,2001
the bazaar of bad dreams,978-1-5011-1167-9,2015
the colorado kid,978-0-7432-9276-4,2005
the dark half,978-1-5011-4114-0,1989
the dark tower 1-the gunslinger,1-101-14645-1,1982
the dark tower 2-the drawing of the three,1-101-14642-7,1986
the dark tower 3-the waste lands,978-1-101-15861-6,1991
the dark tower 4 - wizard and glass,1-101-14644-3,1997
the dark tower 5-wolves of the calia,978-1-4165-1693-4,2002
the dark tower 6-song of susannah,978-1-4165-2149-5,2004
the dark tower 7-the dark tower,978-1-4165-2452-6,2004
the dark tower 8-the wind through the keyhole,978-1-4516-5890-3,2012
the dead zone,978-1-5011-4115-7,1979
the eyes of the dragon,978-1-101-13807-6,1988
the girl who loved tom gordon,978-0-6848-3583-9,1999
the green mile,978-1-4391-8278-9,1996
the long walk,978-1-5011-4132-4,1976
the mist,978-1-1012-1166-3,1980
the regulators,978-1-5011-4137-9,1996
the running man,978-1-5011-4135-5,1982
the shining,978-0-385-52886-3,1977
the shining 2-doctor sleep,978-1-4767-2766-0,2013
the stand,978-0-385-52885-6,1978
the tommyknockers,978-1-5011-4131-7,1987
thinner,978-1-5011-4136-2,1984
uncollected stories,,
under the dome,978-1-4391-4903-4,2010
ur,978-1-4423-0310-2,2009